id;name;brand                                                                                                                                                                                          
62;B-3;S                                                                                                                                                                                               
63;A-8;R                                                                                                                                                                                               
64;N-3;Z                                                                                                                                                                                               
65;S-2;L                                                                                                                                                                                               
66;K-8;Y                                                                                                                                                                                               
67;F-2;K                                                                                                                                                                                               
68;Q-9;N                                                                                                                                                                                               
69;D-4;L                                                                                                                                                                                               
70;S-2;V                                                                                                                                                                                               
71;X-4;D                                                                                                                                                                                               
72;J-6;D                                                                                                                                                                                               
73;B-6;X                                                                                                                                                                                               
74;E-5;M                                                                                                                                                                                               
75;J-7;R                                                                                                                                                                                               
76;D-9;X                                                                                                                                                                                               
77;K-3;W                                                                                                                                                                                               
78;P-8;W                                                                                                                                                                                               
79;G-6;Q                                                                                                                                                                                               
80;Y-4;B                                                                                                                                                                                               
81;A-9;U                                                                                                                                                                                               
82;D-8;J                                                                                                                                                                                               
83;Z-6;H                                                                                                                                                                                               
84;Y-7;C                                                                                                                                                                                               
85;R-7;B                                                                                                                                                                                               
86;Z-7;V                                                                                                                                                                                               
87;I-8;K                                                                                                                                                                                               
88;M-2;L                                                                                                                                                                                               
89;S-2;B                                                                                                                                                                                               
90;S-6;B                                                                                                                                                                                               
91;Y-4;I                                                                                                                                                                                               
92;C-2;M                                                                                                                                                                                               
93;O-3;T                                                                                                                                                                                               
94;K-9;Q                                                                                                                                                                                               
95;R-5;R                                                                                                                                                                                               
96;A-3;X                                                                                                                                                                                               
97;K-3;P                                                                                                                                                                                               
98;B-9;Y                                                                                                                                                                                               
99;D-3;F                                                                                                                                                                                               
100;R-8;Y                                                                                                                                                                                              
101;H-3;N                                                                                                                                                                                              
102;S-8;Z                                                                                                                                                                                              
103;N-7;P                                                                                                                                                                                              
104;E-3;U                                                                                                                                                                                              
105;O-2;F                                                                                                                                                                                              
106;T-5;M                                                                                                                                                                                              
107;O-8;O                                                                                                                                                                                              
108;V-3;I                                                                                                                                                                                              
109;J-3;Y                                                                                                                                                                                              
110;X-7;Y                                                                                                                                                                                              
111;E-4;U                                                                                                                                                                                              
112;V-4;I                                                                                                                                                                                              
113;F-4;Y                                                                                                                                                                                              
114;C-4;C                                                                                                                                                                                              
115;Y-9;G                                                                                                                                                                                              
116;Q-3;D                                                                                                                                                                                              
117;Z-4;J                                                                                                                                                                                              
118;H-9;Q                                                                                                                                                                                              
119;T-2;X                                                                                                                                                                                              
120;J-9;T                                                                                                                                                                                              
121;J-6;S                                                                                                                                                                                              
122;R-2;T                                                                                                                                                                                              
123;A-5;I                                                                                                                                                                                              
124;B-7;A                                                                                                                                                                                              
125;K-2;G                                                                                                                                                                                              
126;U-4;E                                                                                                                                                                                              
127;L-9;Z                                                                                                                                                                                              
128;N-6;H                                                                                                                                                                                              
129;M-7;G                                                                                                                                                                                              
130;S-9;K                                                                                                                                                                                              
131;S-5;C                                                                                                                                                                                              
132;T-5;C                                                                                                                                                                                              
133;W-2;Z                                                                                                                                                                                              
134;V-2;I                                                                                                                                                                                              
135;R-8;F                                                                                                                                                                                              
136;C-2;G                                                                                                                                                                                              
137;F-5;G                                                                                                                                                                                              
138;K-4;T                                                                                                                                                                                              
139;N-4;R                                                                                                                                                                                              
140;Q-9;D                                                                                                                                                                                              
141;Q-3;B                                                                                                                                                                                              
142;S-7;U                                                                                                                                                                                              
143;X-9;N                                                                                                                                                                                              
144;R-9;X                                                                                                                                                                                              
145;T-2;I                                                                                                                                                                                              
146;A-3;Y                                                                                                                                                                                              
147;U-4;Y                                                                                                                                                                                              
148;L-8;B                                                                                                                                                                                              
149;X-3;H                                                                                                                                                                                              
150;L-9;P                                                                                                                                                                                              
151;F-8;A                                                                                                                                                                                              
152;C-7;M                                                                                                                                                                                              
153;W-2;F                                                                                                                                                                                              
154;U-3;H                                                                                                                                                                                              
155;X-3;Z                                                                                                                                                                                              
156;I-7;W                                                                                                                                                                                              
157;Z-8;B                                                                                                                                                                                              
158;H-4;O                                                                                                                                                                                              
159;T-8;S                                                                                                                                                                                              
160;M-8;L                                                                                                                                                                                              
161;D-2;R                                                                                                                                                                                              
162;N-3;U                                                                                                                                                                                              
163;O-4;H                                                                                                                                                                                              
164;A-3;D                                                                                                                                                                                              
165;B-3;V                                                                                                                                                                                              
166;S-4;A                                                                                                                                                                                              
167;F-6;D                                                                                                                                                                                              
168;G-7;E                                                                                                                                                                                              
169;C-8;Y                                                                                                                                                                                              
170;J-8;A                                                                                                                                                                                              
171;M-4;T                                                                                                                                                                                              
172;G-8;A                                                                                                                                                                                              
173;W-3;S                                                                                                                                                                                              
174;Z-8;C                                                                                                                                                                                              
175;T-3;Z                                                                                                                                                                                              
176;L-8;I                                                                                                                                                                                              
177;H-7;D                                                                                                                                                                                              
178;W-6;X                                                                                                                                                                                              
179;U-8;Z                                                                                                                                                                                              
180;P-6;J                                                                                                                                                                                              
181;C-9;G                                                                                                                                                                                              
182;S-7;R                                                                                                                                                                                              
183;U-5;E                                                                                                                                                                                              
184;U-8;I                                                                                                                                                                                              
185;M-2;O                                                                                                                                                                                              
186;Y-5;T                                                                                                                                                                                              
187;Q-2;U                                                                                                                                                                                              
188;T-9;P                                                                                                                                                                                              
190;T-2;L                                                                                                                                                                                              
191;A-6;J                                                                                                                                                                                              
192;O-6;Y                                                                                                                                                                                              
193;C-4;S                                                                                                                                                                                              
194;N-5;J                                                                                                                                                                                              
196;D-5;Q                                                                                                                                                                                              
197;S-8;Y                                                                                                                                                                                              
198;J-9;I                                                                                                                                                                                              
199;O-6;D                                                                                                                                                                                              
200;Q-8;H                                                                                                                                                                                              
201;J-6;T                                                                                                                                                                                              
202;S-9;C                                                                                                                                                                                              
203;N-5;D                                                                                                                                                                                              
204;T-8;A                                                                                                                                                                                              
205;A-4;E                                                                                                                                                                                              
206;D-8;Q                                                                                                                                                                                              
207;D-8;N                                                                                                                                                                                              
208;B-4;E                                                                                                                                                                                              
209;U-7;T                                                                                                                                                                                              
210;Z-3;L                                                                                                                                                                                              
211;C-3;V                                                                                                                                                                                              
212;M-7;L                                                                                                                                                                                              
213;X-4;W                                                                                                                                                                                              
214;D-4;A                                                                                                                                                                                              
215;P-5;C                                                                                                                                                                                              
216;Z-3;A                                                                                                                                                                                              
217;E-5;H                                                                                                                                                                                              
218;Y-2;E                                                                                                                                                                                              
219;G-2;C                                                                                                                                                                                              
220;C-8;T                                                                                                                                                                                              
221;H-3;Z                                                                                                                                                                                              
222;B-5;S                                                                                                                                                                                              
223;N-2;G                                                                                                                                                                                              
224;Y-9;B                                                                                                                                                                                              
225;F-3;L                                                                                                                                                                                              
226;E-3;S                                                                                                                                                                                              
227;N-3;O                                                                                                                                                                                              
228;F-5;U                                                                                                                                                                                              
229;V-5;M                                                                                                                                                                                              
230;S-9;S                                                                                                                                                                                              
231;Y-4;S                                                                                                                                                                                              
232;I-4;S                                                                                                                                                                                              
233;D-7;M                                                                                                                                                                                              
234;J-3;F                                                                                                                                                                                              
235;Z-2;Q                                                                                                                                                                                              
236;G-9;V                                                                                                                                                                                              
238;J-8;I                                                                                                                                                                                              
239;K-5;I                                                                                                                                                                                              
240;T-5;N                                                                                                                                                                                              
241;F-9;C                                                                                                                                                                                              
242;H-4;L                                                                                                                                                                                              
243;K-7;H                                                                                                                                                                                              
244;H-5;P                                                                                                                                                                                              
245;F-8;O                                                                                                                                                                                              
246;L-7;B                                                                                                                                                                                              
247;Q-3;V                                                                                                                                                                                              
248;D-7;B                                                                                                                                                                                              
249;H-3;G                                                                                                                                                                                              
250;Y-6;R                                                                                                                                                                                              
251;J-8;D                                                                                                                                                                                              
252;R-2;I                                                                                                                                                                                              
253;C-3;O                                                                                                                                                                                              
254;A-7;M                                                                                                                                                                                              
255;Y-3;T                                                                                                                                                                                              
257;X-4;U                                                                                                                                                                                              
258;P-6;L                                                                                                                                                                                              
259;R-2;N                                                                                                                                                                                              
260;Q-6;I                                                                                                                                                                                              
261;B-2;P                                                                                                                                                                                              
262;K-7;L                                                                                                                                                                                              
263;A-6;Z                                                                                                                                                                                              
264;B-3;A                                                                                                                                                                                              
265;N-6;C                                                                                                                                                                                              
266;Y-5;B                                                                                                                                                                                              
267;V-4;K                                                                                                                                                                                              
268;W-5;E                                                                                                                                                                                              
269;L-3;F                                                                                                                                                                                              
270;G-7;Q                                                                                                                                                                                              
271;V-8;V                                                                                                                                                                                              
272;I-8;I                                                                                                                                                                                              
273;W-5;Z                                                                                                                                                                                              
274;B-6;N                                                                                                                                                                                              
275;W-8;O                                                                                                                                                                                              
276;J-3;Z                                                                                                                                                                                              
277;T-3;E                                                                                                                                                                                              
278;C-8;V                                                                                                                                                                                              
279;S-2;W                                                                                                                                                                                              
280;G-4;T                                                                                                                                                                                              
281;L-6;Q                                                                                                                                                                                              
282;Q-7;Q                                                                                                                                                                                              
283;M-6;I                                                                                                                                                                                              
284;D-3;M                                                                                                                                                                                              
285;P-4;D                                                                                                                                                                                              
286;O-3;H                                                                                                                                                                                              
287;S-8;S                                                                                                                                                                                              
288;V-8;M                                                                                                                                                                                              
290;H-8;P                                                                                                                                                                                              
291;R-7;Y                                                                                                                                                                                              
292;O-6;J                                                                                                                                                                                              
294;E-9;Z                                                                                                                                                                                              
295;V-7;S                                                                                                                                                                                              
296;M-5;Z                                                                                                                                                                                              
297;V-6;N                                                                                                                                                                                              
298;W-7;Q                                                                                                                                                                                              
299;S-7;G                                                                                                                                                                                              
300;J-5;O                                                                                                                                                                                              
301;F-8;Y                                                                                                                                                                                              
302;T-2;G                                                                                                                                                                                              
303;R-7;O                                                                                                                                                                                              
304;O-5;J                                                                                                                                                                                              
305;D-3;K                                                                                                                                                                                              
306;V-6;S                                                                                                                                                                                              
307;W-8;C                                                                                                                                                                                              
308;W-7;L                                                                                                                                                                                              
309;G-2;L                                                                                                                                                                                              
310;U-6;Q                                                                                                                                                                                              
311;W-4;M                                                                                                                                                                                              
312;G-7;B                                                                                                                                                                                              
313;M-6;C                                                                                                                                                                                              
315;C-6;J                                                                                                                                                                                              
316;T-9;K                                                                                                                                                                                              
317;V-2;H                                                                                                                                                                                              
318;Q-4;S                                                                                                                                                                                              
319;K-6;K                                                                                                                                                                                              
320;M-9;L                                                                                                                                                                                              
321;B-8;U                                                                                                                                                                                              
322;A-9;W                                                                                                                                                                                              
323;O-5;H                                                                                                                                                                                              
324;B-6;S                                                                                                                                                                                              
325;K-8;G                                                                                                                                                                                              
326;T-2;Q                                                                                                                                                                                              
327;M-8;T                                                                                                                                                                                              
328;Q-5;X                                                                                                                                                                                              
329;O-3;W                                                                                                                                                                                              
330;G-4;M                                                                                                                                                                                              
331;X-3;E                                                                                                                                                                                              
332;J-5;X                                                                                                                                                                                              
334;B-5;A                                                                                                                                                                                              
335;P-8;A                                                                                                                                                                                              
336;T-7;T                                                                                                                                                                                              
337;D-7;Y                                                                                                                                                                                              
338;D-6;I                                                                                                                                                                                              
339;N-8;K                                                                                                                                                                                              
340;W-6;B                                                                                                                                                                                              
341;X-6;W                                                                                                                                                                                              
342;N-6;G                                                                                                                                                                                              
343;N-2;U                                                                                                                                                                                              
344;S-2;P                                                                                                                                                                                              
345;T-2;K                                                                                                                                                                                              
346;F-8;D                                                                                                                                                                                              
347;H-8;I                                                                                                                                                                                              
348;O-7;E                                                                                                                                                                                              
349;K-8;N                                                                                                                                                                                              
350;Y-2;M                                                                                                                                                                                              
351;P-3;K                                                                                                                                                                                              
352;F-5;Y                                                                                                                                                                                              
353;B-6;Z                                                                                                                                                                                              
354;Y-8;Y                                                                                                                                                                                              
355;Q-3;A                                                                                                                                                                                              
357;J-4;A                                                                                                                                                                                              
358;I-7;L                                                                                                                                                                                              
359;V-2;S                                                                                                                                                                                              
360;O-8;D                                                                                                                                                                                              
361;H-5;L                                                                                                                                                                                              
362;Q-2;H                                                                                                                                                                                              
363;V-5;L                                                                                                                                                                                              
364;W-2;S                                                                                                                                                                                              
365;X-8;D                                                                                                                                                                                              
366;Z-5;Y                                                                                                                                                                                              
367;S-7;H                                                                                                                                                                                              
368;I-3;N                                                                                                                                                                                              
369;D-6;T                                                                                                                                                                                              
370;W-5;W                                                                                                                                                                                              
371;B-7;V                                                                                                                                                                                              
372;O-6;V                                                                                                                                                                                              
373;H-2;W                                                                                                                                                                                              
374;X-6;M                                                                                                                                                                                              
375;K-9;O                                                                                                                                                                                              
376;T-7;E                                                                                                                                                                                              
377;D-4;Q                                                                                                                                                                                              
378;K-8;W                                                                                                                                                                                              
379;A-4;S                                                                                                                                                                                              
380;R-3;R                                                                                                                                                                                              
381;I-2;R                                                                                                                                                                                              
382;F-5;A                                                                                                                                                                                              
383;P-6;V                                                                                                                                                                                              
384;Z-9;L                                                                                                                                                                                              
385;V-6;O                                                                                                                                                                                              
386;Y-2;N                                                                                                                                                                                              
387;L-5;U                                                                                                                                                                                              
388;M-7;I                                                                                                                                                                                              
389;A-2;T                                                                                                                                                                                              
391;V-8;G                                                                                                                                                                                              
392;O-2;G                                                                                                                                                                                              
393;C-9;T                                                                                                                                                                                              
394;K-3;L                                                                                                                                                                                              
395;H-5;N                                                                                                                                                                                              
396;M-2;R                                                                                                                                                                                              
397;I-3;D                                                                                                                                                                                              
398;O-7;Z                                                                                                                                                                                              
399;O-2;P                                                                                                                                                                                              
400;S-4;B                                                                                                                                                                                              
401;R-4;H                                                                                                                                                                                              
402;G-3;R                                                                                                                                                                                              
403;M-9;N                                                                                                                                                                                              
404;F-4;I                                                                                                                                                                                              
405;I-5;M                                                                                                                                                                                              
406;R-2;K                                                                                                                                                                                              
407;W-3;Y                                                                                                                                                                                              
408;Y-8;L                                                                                                                                                                                              
409;D-6;F                                                                                                                                                                                              
410;G-3;U                                                                                                                                                                                              
411;Q-7;E                                                                                                                                                                                              
412;R-9;W                                                                                                                                                                                              
413;U-4;X                                                                                                                                                                                              
414;O-7;G                                                                                                                                                                                              
415;X-4;E                                                                                                                                                                                              
416;Y-9;M                                                                                                                                                                                              
417;D-5;T                                                                                                                                                                                              
418;N-5;H                                                                                                                                                                                              
419;A-6;E                                                                                                                                                                                              
420;K-6;J                                                                                                                                                                                              
421;U-8;O                                                                                                                                                                                              
422;U-9;A                                                                                                                                                                                              
423;A-5;W                                                                                                                                                                                              
424;W-7;R                                                                                                                                                                                              
425;Q-8;Z                                                                                                                                                                                              
426;B-4;U                                                                                                                                                                                              
427;U-5;W                                                                                                                                                                                              
428;J-4;P                                                                                                                                                                                              
429;V-4;O                                                                                                                                                                                              
431;M-9;A                                                                                                                                                                                              
432;L-6;N                                                                                                                                                                                              
433;S-5;E                                                                                                                                                                                              
434;Y-9;E                                                                                                                                                                                              
435;U-6;U                                                                                                                                                                                              
437;F-7;U                                                                                                                                                                                              
438;B-5;M                                                                                                                                                                                              
439;B-8;W                                                                                                                                                                                              
440;Z-7;U                                                                                                                                                                                              
442;X-2;I                                                                                                                                                                                              
443;F-7;G                                                                                                                                                                                              
444;E-4;W                                                                                                                                                                                              
445;X-3;C                                                                                                                                                                                              
446;F-2;U                                                                                                                                                                                              
447;P-2;P                                                                                                                                                                                              
448;P-2;H                                                                                                                                                                                              
449;H-2;D                                                                                                                                                                                              
450;V-4;Y                                                                                                                                                                                              
451;F-8;X                                                                                                                                                                                              
452;A-3;Q                                                                                                                                                                                              
455;U-4;R                                                                                                                                                                                              
456;P-5;P                                                                                                                                                                                              
457;R-7;N                                                                                                                                                                                              
458;O-4;J                                                                                                                                                                                              
459;B-9;I                                                                                                                                                                                              
460;Y-3;Q                                                                                                                                                                                              
461;E-8;D                                                                                                                                                                                              
462;X-2;Q                                                                                                                                                                                              
464;V-3;R                                                                                                                                                                                              
465;C-6;Y                                                                                                                                                                                              
466;Y-6;J                                                                                                                                                                                              
467;N-8;C                                                                                                                                                                                              
468;F-6;Z                                                                                                                                                                                              
469;D-3;X                                                                                                                                                                                              
470;D-7;E                                                                                                                                                                                              
471;Q-5;H                                                                                                                                                                                              
472;W-6;P                                                                                                                                                                                              
473;B-9;W                                                                                                                                                                                              
474;N-8;E                                                                                                                                                                                              
475;N-6;T                                                                                                                                                                                              
476;X-9;Z                                                                                                                                                                                              
477;D-3;N                                                                                                                                                                                              
478;Y-5;E                                                                                                                                                                                              
479;P-5;L                                                                                                                                                                                              
480;U-6;H                                                                                                                                                                                              
481;A-9;L                                                                                                                                                                                              
482;S-6;Z                                                                                                                                                                                              
483;R-4;F                                                                                                                                                                                              
484;V-7;N                                                                                                                                                                                              
485;V-8;F                                                                                                                                                                                              
486;C-4;W                                                                                                                                                                                              
487;M-6;B                                                                                                                                                                                              
488;D-4;S                                                                                                                                                                                              
489;W-6;S                                                                                                                                                                                              
490;D-7;I                                                                                                                                                                                              
491;Q-6;F                                                                                                                                                                                              
492;Q-9;X                                                                                                                                                                                              
493;T-4;R                                                                                                                                                                                              
494;F-4;A                                                                                                                                                                                              
495;Y-3;B                                                                                                                                                                                              
496;G-3;P                                                                                                                                                                                              
497;O-8;V                                                                                                                                                                                              
498;T-2;E                                                                                                                                                                                              
499;W-4;N                                                                                                                                                                                              
500;N-2;P                                                                                                                                                                                              
