sales_number;car_vin;cost;sales_date                                                                                                                                                                   
10#158;1VYZZ3P20TX411690;4940.43;2022-11-28                                                                                                                                                            
10#159;8MLJZ8T57ON905211;4349.77;2022-03-18                                                                                                                                                            
10#160;4BUFD6X48XR295804;3377.91;2020-07-23                                                                                                                                                            
10#161;1MJZN0J67RP981582;4307.87;2023-10-14                                                                                                                                                            
10#162;8GJRO3U86GP650500;4484.24;2020-07-05                                                                                                                                                            
10#163;6ZKHA2O50AN508828;5102.71;2021-03-28                                                                                                                                                            
10#164;9DWOP9V09LF951364;4655.95;2024-01-20                                                                                                                                                            
10#165;8JLXV5R94AF903109;6909.35;2020-06-18                                                                                                                                                            
10#166;4IERX5J56LN929502;5248.24;2021-05-09                                                                                                                                                            
10#167;9JAFF4R81AW459316;5183.68;2021-10-26                                                                                                                                                            
10#168;1VHCZ1U41XM768170;3919.22;2024-04-07                                                                                                                                                            
10#169;5FSJR0T14IN761716;3137.36;2020-04-09                                                                                                                                                            
10#170;7XRXW2M42HV674259;5706.94;2022-10-19                                                                                                                                                            
10#171;7BNTC5X70IA444398;3442.03;2020-03-12                                                                                                                                                            
10#172;8CCCC1G60PH726623;2287.17;2021-08-25                                                                                                                                                            
10#173;1DUDT3C66JK063067;3794.61;2021-03-31                                                                                                                                                            
10#174;0OJPL3A85UH679745;3749.34;2024-05-24                                                                                                                                                            
10#175;9MRQI6D60SN478390;3897.46;2022-12-10                                                                                                                                                            
10#176;7SYKH0J79PF018308;2899.74;2023-12-24                                                                                                                                                            
10#177;4OZTU2T16FU819986;3037.97;2024-02-15                                                                                                                                                            
10#178;1XHRI1F97FB364665;3613.82;2020-08-08                                                                                                                                                            
10#179;7HHQD8L79JG151432;4435.68;2022-01-10                                                                                                                                                            
10#180;5AGEX9R29VA557696;3443.62;2022-06-08                                                                                                                                                            
10#181;5LYUV8R95CL130094;5314.52;2023-05-09                                                                                                                                                            
10#182;8ZDBB0T99NA320789;4071.87;2022-12-31                                                                                                                                                            
10#183;7PAXB6S76CV074135;6273.37;2022-05-28                                                                                                                                                            
10#184;6SQIN7G41CU759329;4397.04;2021-08-11                                                                                                                                                            
10#185;9ENKK4O89NP656314;6366.78;2021-01-17                                                                                                                                                            
10#186;6VQXF8M00AR501295;3139.49;2024-05-09                                                                                                                                                            
10#187;9STLJ5M48WS975617;4271.61;2022-09-23                                                                                                                                                            
10#188;8GCWP4F17FD285740;5246.92;2021-12-06                                                                                                                                                            
10#189;3DTNY6X06BI254942;4474.38;2021-10-17                                                                                                                                                            
10#190;3FGTY6R51PV288160;3266.54;2023-02-05                                                                                                                                                            
10#191;6ZBAH9S10DQ571665;3027.65;2024-08-26                                                                                                                                                            
10#192;8NNJM5T59JU324408;3878.2;2024-03-30                                                                                                                                                             
10#193;8WLXW3H82OO761002;4886.32;2023-09-07                                                                                                                                                            
10#194;0HUJT9A15WQ984887;4072.45;2024-02-16                                                                                                                                                            
10#195;4RJQS6A55QO494145;4950.43;2020-10-25                                                                                                                                                            
10#196;3NWRC7D42QX170502;4799.54;2022-11-04                                                                                                                                                            
10#197;1JCJB9X38KM991168;5758.34;2024-05-12                                                                                                                                                            
10#198;6JCST8K63UG729321;4048.05;2022-05-20                                                                                                                                                            
10#199;3JFBM1J51GC439256;3603.64;2024-10-12                                                                                                                                                            
10#200;5GEFU6A21YK558735;4045.57;2023-02-08                                                                                                                                                            
10#201;7IRGY2M34LA498196;3666.14;2023-07-18                                                                                                                                                            
10#202;0VZZE1H83HF209740;7242.23;2024-02-15                                                                                                                                                            
10#203;6EHJO0Q12JO101066;5865.02;2021-12-04                                                                                                                                                            
10#204;8ZJMB2Z80CP368939;2716.85;2021-05-07                                                                                                                                                            
10#205;8BIIZ4C80NL437127;3703.48;2022-01-04                                                                                                                                                            
10#206;0XAMZ2O84BX601900;3391.39;2022-11-09                                                                                                                                                            
10#207;5XFJB0D95QF153929;6552.72;2024-10-05                                                                                                                                                            
10#208;1CEJR5M23NE034554;5958.07;2020-08-09                                                                                                                                                            
10#209;5SGZF7B36OP717212;3686.82;2020-09-19                                                                                                                                                            
10#210;8BCGN0Y25TD840970;3991.68;2020-04-27                                                                                                                                                            
10#211;7BAON1B60WU241823;6578.86;2020-11-24                                                                                                                                                            
10#212;2GCHW5W09HT727011;4925.75;2024-07-13                                                                                                                                                            
10#213;3ZLKY8D37JY068773;4867.26;2024-10-20                                                                                                                                                            
10#214;4FGTX1I86JU724524;3793.92;2022-02-01                                                                                                                                                            
10#215;2ZSIS6V54CF061143;2374.76;2020-07-23                                                                                                                                                            
10#216;1WOJZ0O71ZB685140;2538.13;2022-02-18                                                                                                                                                            
10#217;3AKKH6N57CK479817;3625.37;2023-01-17                                                                                                                                                            
10#218;2UVDL8P08LZ330160;6550.84;2023-03-24                                                                                                                                                            
10#219;3QZJW5D65GA902005;4490.95;2021-08-11                                                                                                                                                            
10#220;8MTBL0E97FK310487;4711.99;2021-06-11                                                                                                                                                            
10#221;2NKNT8H16SX598759;5741.81;2021-06-20                                                                                                                                                            
10#222;4VWRM9R82YL936992;7585.57;2022-04-07                                                                                                                                                            
10#223;5AYEZ5S25KM323273;3728.85;2021-07-22                                                                                                                                                            
10#224;6HAAQ9R03LY925313;3576.69;2022-03-13                                                                                                                                                            
10#225;4CDKO3O47PX665033;4645.79;2024-04-20                                                                                                                                                            
10#226;8ZXXH5Q13EE797778;2745.47;2023-06-07                                                                                                                                                            
10#227;3HFFQ9U12AF562832;5846.39;2023-06-11                                                                                                                                                            
10#228;7BOJC9D45GC511934;3543.77;2020-09-20                                                                                                                                                            
10#229;4ZYVE2A32LL955613;4313.18;2022-12-20                                                                                                                                                            
10#230;3AUUN9M74JL896584;3447.36;2022-03-13                                                                                                                                                            
10#231;3VQZI4Y47BZ655871;5479.98;2022-12-01                                                                                                                                                            
10#232;2DHEZ6P22XO575542;7819.2;2021-02-19                                                                                                                                                             
10#233;4ULJE8F61OO296650;7831.64;2024-01-22                                                                                                                                                            
10#234;8VNZP4P55JT230285;6241.05;2021-11-09                                                                                                                                                            
10#235;3KGPJ9U17WW192609;6569.15;2020-09-30                                                                                                                                                            
10#236;1CLUU2Z48TI225128;4689.04;2023-10-04                                                                                                                                                            
10#237;1WKPB0L95FT895296;3917.91;2022-11-19                                                                                                                                                            
10#238;3ASOY1Y21WB129426;7271.64;2024-03-23                                                                                                                                                            
10#239;2DLFR7H57KW664704;3438.48;2021-08-11                                                                                                                                                            
10#240;2UFZK4A90YM123521;7396.58;2021-10-08                                                                                                                                                            
10#241;2TMWY3S58QZ571895;4119.41;2020-09-05                                                                                                                                                            
10#242;1TVFQ5A22DY899453;3125.51;2024-05-01                                                                                                                                                            
10#243;8FKFL5J91PV292919;4622.16;2022-04-24                                                                                                                                                            
10#244;8PVUM8B71KR967132;7174.42;2023-03-31                                                                                                                                                            
10#245;2VRTG0J22MF253090;4790.84;2024-08-22                                                                                                                                                            
10#246;5RXMS8E84VK219046;2935.95;2024-09-13                                                                                                                                                            
10#247;1QSTA1O15TL430926;3180.89;2022-05-07                                                                                                                                                            
10#248;0EVOX4A79HA597814;5263.92;2022-08-09                                                                                                                                                            
10#249;8KCCJ2R01CU844210;3009.14;2022-04-10                                                                                                                                                            
10#250;0GRZA5S66FD018671;4204.5;2023-08-08                                                                                                                                                             
10#251;3TBSL3B23HH778031;5113.41;2024-03-25                                                                                                                                                            
10#252;6GTKL9J89PH998979;3991.11;2020-11-16                                                                                                                                                            
10#253;2DMNK1F91FD775082;3833.98;2024-10-14                                                                                                                                                            
10#254;9GILE0A88CL496568;5474.76;2020-10-08                                                                                                                                                            
10#255;0ESXL4R38IE753532;2546.46;2021-07-09                                                                                                                                                            
10#256;8JLMD2C37BU876781;7096.11;2023-01-01                                                                                                                                                            
10#257;3GUXN2E87PW231466;4331.77;2020-10-25                                                                                                                                                            
10#258;6QODR8P72KG824815;5054.45;2024-06-01                                                                                                                                                            
10#259;2COPL6P59OK889320;4792.12;2022-06-11                                                                                                                                                            
10#260;0FGHZ8Q73EH160558;3943.93;2024-05-22                                                                                                                                                            
10#261;1KTIT9O70TX019434;6127.84;2024-10-12                                                                                                                                                            
10#262;0LHUK9G56TP587040;5562.62;2022-12-18                                                                                                                                                            
10#263;5ASRS2Y20AJ985226;5043.79;2021-08-08                                                                                                                                                            
10#264;6ZDIU7X21ZQ134972;2193.63;2023-07-31                                                                                                                                                            
10#265;0RMZI9Q91YX395931;4587.73;2021-05-01                                                                                                                                                            
10#266;6ZVQM1M81HH786298;2910.59;2024-10-23                                                                                                                                                            
10#267;5AYMJ2S83DZ442237;2308.8;2024-09-24                                                                                                                                                             
10#268;2JECO2Z58IA328788;3182.23;2023-06-29                                                                                                                                                            
10#269;0KWKZ4D04MY538850;2998.96;2020-10-29                                                                                                                                                            
10#270;8CJEP1L85FZ567249;6389.0;2024-02-12                                                                                                                                                             
10#271;7GBVZ0G36LK326014;4890.1;2021-07-26                                                                                                                                                             
10#272;8IMMQ9T93YT947719;5168.91;2022-05-27                                                                                                                                                            
10#273;6DMJJ2F83KA898704;4341.55;2021-01-22                                                                                                                                                            
10#274;9KUHI3U15SG911260;2749.52;2021-02-12                                                                                                                                                            
10#275;3QHOB7V61ZA039262;2710.38;2020-08-23                                                                                                                                                            
10#276;7YZVM8Z61MV939010;4006.43;2024-12-23                                                                                                                                                            
10#277;0LSUY8M88EB408826;3143.09;2022-08-14                                                                                                                                                            
10#278;3ALQP3E52JF634884;7254.22;2021-04-15                                                                                                                                                            
10#279;7AWND4G70PK326338;4710.3;2023-03-19                                                                                                                                                             
10#280;9LLCT4W70FN826436;7175.16;2023-10-19                                                                                                                                                            
10#281;1JBXA2F51KL039908;4390.68;2022-01-22                                                                                                                                                            
10#282;8ICZF8G70NZ702333;5221.66;2021-02-16                                                                                                                                                            
10#283;0FSJX0M55GQ937637;2024.24;2023-02-08                                                                                                                                                            
10#284;6JOGK6R85UH601429;3215.97;2022-04-30                                                                                                                                                            
10#285;1NUGY9G48ML081597;6966.81;2024-03-18                                                                                                                                                            
10#286;4CSDB1N94HG112915;2362.83;2023-01-07                                                                                                                                                            
10#287;7PAKY5F47GY299925;6999.88;2024-01-07                                                                                                                                                            
10#288;9XBPZ5E18PF929872;4818.52;2022-09-28                                                                                                                                                            
10#289;9EKXU7K46AR301477;3943.24;2024-06-19                                                                                                                                                            
10#290;3RGQQ0B78BC960846;3900.53;2022-03-09                                                                                                                                                            
10#291;8AHUV8T50ED681863;6442.19;2022-08-28                                                                                                                                                            
10#292;3RQWJ0G10BY782378;3404.48;2024-05-29                                                                                                                                                            
10#293;1WVPJ6G63CR141325;4447.57;2020-06-19                                                                                                                                                            
10#294;4OOTC8L11VB139304;2841.52;2023-06-09                                                                                                                                                            
10#295;9LDRI4J72DI530077;5464.68;2022-06-18                                                                                                                                                            
10#296;7KXNI5J79CV135664;3901.51;2024-02-26                                                                                                                                                            
10#297;5NJOD4P57WD161527;3370.37;2021-06-20                                                                                                                                                            
10#298;1YUVI0Q09ED375770;5175.41;2023-12-09                                                                                                                                                            
10#299;2YYFI1B23GJ445144;3141.97;2022-04-08                                                                                                                                                            
10#300;4AEKW6X52DM577691;3553.66;2023-12-05                                                                                                                                                            
10#301;9YYGB3A41NB350733;3397.79;2022-09-06                                                                                                                                                            
10#302;2OJAR8D35YP726705;5117.4;2023-05-09                                                                                                                                                             
10#303;8WEED6A63NO850412;3715.56;2021-10-09                                                                                                                                                            
10#304;7ODWI6Q43RM500336;5522.89;2024-04-30                                                                                                                                                            
10#305;5AGWO3O94PZ971275;4711.13;2020-11-21                                                                                                                                                            
10#306;9AHBU5X86OT789511;3739.35;2022-05-30                                                                                                                                                            
10#307;4QMOI4B85TT406733;2532.66;2024-09-26                                                                                                                                                            
10#308;5QIBC4K92UV639405;5299.44;2021-12-06                                                                                                                                                            
10#309;4NUCX0U68FL225412;3374.08;2022-07-01                                                                                                                                                            
10#310;0JNGT6L64YF356219;5750.65;2022-01-01                                                                                                                                                            
10#311;8VQMM0X27DN861507;4520.67;2022-06-25                                                                                                                                                            
10#312;5OXXT2Z86WP054990;5149.11;2024-09-02                                                                                                                                                            
10#313;6XCOU4B47JP166723;6155.48;2020-07-30                                                                                                                                                            
10#314;1UOLE3U43UC693721;4570.64;2024-04-18                                                                                                                                                            
10#315;2BVOS4R12KZ658944;4364.56;2021-02-07                                                                                                                                                            
10#316;0QDFD7T11DP225076;3565.68;2023-09-12                                                                                                                                                            
10#317;4XZPL3X68FB592035;5363.57;2021-08-30                                                                                                                                                            
10#318;0ZYWX3O62RR654859;6945.92;2021-06-08                                                                                                                                                            
10#319;8MPSD5F03JO239285;3269.19;2022-03-13                                                                                                                                                            
10#320;0WZIY8B82IC598434;5700.97;2024-08-28                                                                                                                                                            
10#321;2CNUS9E54SK927003;4465.74;2021-12-09                                                                                                                                                            
10#322;2ILWQ9J04PO451981;4365.44;2024-10-06                                                                                                                                                            
10#323;2GUHH2B36GX037546;5384.94;2023-12-22                                                                                                                                                            
10#324;1DXFI6V59BW604861;5692.24;2021-10-17                                                                                                                                                            
10#325;8NDCX0I67OA017058;7359.12;2021-10-03                                                                                                                                                            
10#326;9EDWC1N87KJ582185;4022.8;2023-03-01                                                                                                                                                             
10#327;9RIQY6A86JL663557;4716.08;2021-08-12                                                                                                                                                            
10#328;4ZWHD9X18NY361064;3235.32;2024-02-23                                                                                                                                                            
10#329;4FBOE3Y08ND753026;3397.07;2024-03-20                                                                                                                                                            
10#330;2EUHI4A61DL183761;3268.35;2024-04-19                                                                                                                                                            
10#331;4NTSR1N96HD203936;2290.28;2024-05-24                                                                                                                                                            
10#332;2YLMK1Q74TB438521;5978.12;2021-08-13                                                                                                                                                            
10#333;2XJHX6S12OT649647;4745.04;2022-05-11                                                                                                                                                            
10#334;6FKPC5K96SG903061;6446.14;2022-09-29                                                                                                                                                            
10#335;4UTSD3W81JR050352;4573.05;2021-12-01                                                                                                                                                            
10#336;2WPUP6B37CH269758;4233.26;2022-09-16                                                                                                                                                            
10#337;8EFFQ5O40BZ007745;4067.89;2022-11-22                                                                                                                                                            
10#338;2IJLN5F99KP973884;2889.86;2024-10-02                                                                                                                                                            
10#339;3OTXN7T62JU848732;4444.76;2023-04-15                                                                                                                                                            
10#340;7DENB0W36YE056051;3845.64;2022-06-14                                                                                                                                                            
10#341;2CODL3T91AP818349;3593.11;2020-05-25                                                                                                                                                            
10#342;1LGMU4P25CN055082;3563.22;2022-07-02                                                                                                                                                            
10#343;2AYUY2O70LM919486;6556.0;2024-03-19                                                                                                                                                             
10#344;3TXEN4F91II555557;5429.52;2021-06-15                                                                                                                                                            
10#345;3CJPC7F55MN473821;6619.51;2022-11-29                                                                                                                                                            
11#1;7ELVQ8R33QR914625;5256.16;2023-01-09                                                                                                                                                              
11#2;1GSTZ4R75OL456017;4040.16;2021-04-06                                                                                                                                                              
11#3;7PFWD2L38FY936583;5820.63;2020-03-27                                                                                                                                                              
11#4;7LXKV0O91QQ720600;5362.66;2023-07-31                                                                                                                                                              
11#5;7UFCV9F60HO426186;7094.69;2020-07-26                                                                                                                                                              
11#6;9AJBZ8M14NL807886;4491.79;2021-09-01                                                                                                                                                              
11#7;8SOQN0R94PU701789;5792.13;2020-05-02                                                                                                                                                              
11#8;6YMMO5T64SY515530;6114.93;2022-11-10                                                                                                                                                              
11#9;2FRNP7Z82TC675051;4475.18;2022-10-30                                                                                                                                                              
11#10;7LMCZ2H96IJ789325;4991.87;2022-01-25                                                                                                                                                             
11#11;9JLFD6R46TF005013;3272.88;2025-01-05                                                                                                                                                             
11#12;6QLOL6W89VZ353905;4703.06;2023-05-01                                                                                                                                                             
11#13;4VRUT8V34ZB591005;7209.95;2022-05-24                                                                                                                                                             
11#14;0NXRZ8M33SM129971;5451.67;2022-10-07                                                                                                                                                             
11#15;0ZBHA5P62UT529309;6303.82;2021-05-28                                                                                                                                                             
11#16;2XSEK8I39MW521530;5329.95;2022-03-31                                                                                                                                                             
11#17;9YNYV8K49MJ660515;4356.81;2022-03-27                                                                                                                                                             
11#18;8RMQI8R17NV601297;4854.3;2023-08-15                                                                                                                                                              
11#19;5VTAC7G38NI023425;5187.22;2022-09-17                                                                                                                                                             
11#20;6VQNB6D31YG645725;3189.11;2020-07-19                                                                                                                                                             
11#21;8CDID5N63CC462409;4383.32;2021-07-23                                                                                                                                                             
11#22;3FGJK3W82ZN263601;2870.09;2020-10-05                                                                                                                                                             
11#23;4MTUB3U76YN541734;5499.29;2024-05-26                                                                                                                                                             
11#24;5WSRS6M68HF405591;4220.05;2021-03-23                                                                                                                                                             
11#25;7ZERE9Y99DP302966;3607.95;2021-09-03                                                                                                                                                             
11#26;6LCVW9L70ZL820789;3584.07;2020-12-16                                                                                                                                                             
11#27;0OJUB8T13DV830732;4576.05;2021-04-09                                                                                                                                                             
11#28;2HKEQ0X07WM466310;3040.65;2023-06-09                                                                                                                                                             
11#29;3ETGZ4E31WS681906;2303.36;2023-11-14                                                                                                                                                             
11#30;4OCDT3M30RP237454;4104.55;2022-08-18                                                                                                                                                             
11#31;6GENA9T56OC607357;3029.97;2020-08-18                                                                                                                                                             
11#32;2RCQK2R86YG241028;3077.56;2020-07-18                                                                                                                                                             
11#33;3UOWJ3M07TS422850;3806.89;2023-01-27                                                                                                                                                             
11#34;2HNLP3F07XQ978042;5730.19;2020-05-14                                                                                                                                                             
11#35;1GENC9A04NM506353;3559.54;2020-08-16                                                                                                                                                             
11#36;3UWFM5M70JI354819;3131.12;2020-11-26                                                                                                                                                             
11#37;9SJFO1V70EN823620;3743.96;2021-12-11                                                                                                                                                             
