key;index                                                                                                                                                                                              
0AJIA2G19JX542869;18530                                                                                                                                                                                
0AJJM6V28DF539656;23850                                                                                                                                                                                
0AJPC0W23LF130220;20977                                                                                                                                                                                
0AJQW6P11GV632091;46169                                                                                                                                                                                
0AJRO4M51OY962252;32282                                                                                                                                                                                
0AJRR7A19IU420138;7296                                                                                                                                                                                 
0AJTU2J64EP341444;3243                                                                                                                                                                                 
0AJZJ7L49AS991018;29948                                                                                                                                                                                
0AKBH6M57KL244717;23670                                                                                                                                                                                
0AKFV1W57UH915853;18703                                                                                                                                                                                
0AKGS2B74SI181997;28479                                                                                                                                                                                
0AKIE5L32RL879988;28131                                                                                                                                                                                
0AKIU7N92IX692582;8346                                                                                                                                                                                 
0AKJT1J26JZ486008;7331                                                                                                                                                                                 
0AKNM1G58XB102511;10134                                                                                                                                                                                
0AKOD0U58WP212192;24935                                                                                                                                                                                
0AKRM6Q01BI568646;3992                                                                                                                                                                                 
0AKSS8K28ZO470443;31600                                                                                                                                                                                
0AKUR4I20VN152244;39244                                                                                                                                                                                
0AKVB8D84GA275424;20072                                                                                                                                                                                
0AKYP1M34DZ965691;46411                                                                                                                                                                                
0ALCR1Y81UV686814;6396                                                                                                                                                                                 
0ALDF0J52SM806410;46192                                                                                                                                                                                
0ALJX7V56PV230523;20549                                                                                                                                                                                
0ALMC0E03JL378685;17881                                                                                                                                                                                
0ALPB1D26IM897749;16048                                                                                                                                                                                
0ALUD8C75AU309472;36929                                                                                                                                                                                
0AMAK2T67AZ107665;43104                                                                                                                                                                                
0AMAM2Q99SM070045;39936                                                                                                                                                                                
0AMFP4D85PD443677;49380                                                                                                                                                                                
0AMJI6D96QM451644;27462                                                                                                                                                                                
0AMJI6L06AO034459;22320                                                                                                                                                                                
0AMVA3C43XY225933;21741                                                                                                                                                                                
0AMWK8G61LJ073611;1337                                                                                                                                                                                 
0AMYL6N99CM339194;31401                                                                                                                                                                                
0AMZG4J77LP744389;38267                                                                                                                                                                                
0ANCL1K96PZ441011;32065                                                                                                                                                                                
0ANEG7U02QV188592;30540                                                                                                                                                                                
0ANEJ1O22RT028342;38487                                                                                                                                                                                
0ANGT3T63TH259312;19275                                                                                                                                                                                
0ANMF0E22BQ876456;15859                                                                                                                                                                                
0ANUE3Y38VJ342061;39298                                                                                                                                                                                
0ANXN7O05XE546679;19478                                                                                                                                                                                
0ANZS1G54VZ104041;47014                                                                                                                                                                                
0AOBL4B48SN396002;32250                                                                                                                                                                                
0AOBS4D87QQ271701;26198                                                                                                                                                                                
0AODS9P77AR143781;14771                                                                                                                                                                                
0AOFT0C69DT974851;27424                                                                                                                                                                                
0AOHT7L52NI206335;35992                                                                                                                                                                                
0AOHV1S55HA558546;21646                                                                                                                                                                                
0AOOE8I62BP542788;1119                                                                                                                                                                                 
0AOTC1T35UH340635;19951                                                                                                                                                                                
0AOTG1V92LB165658;42775                                                                                                                                                                                
0AOVU3Q36UH610921;36104                                                                                                                                                                                
0AOWN5N07EF246821;28538                                                                                                                                                                                
0AOWP3F41TC648790;34514                                                                                                                                                                                
0AOWZ0C80BV791266;18620                                                                                                                                                                                
0AOXK2I35LD551658;33521                                                                                                                                                                                
0AOYS0M55XY435722;41275                                                                                                                                                                                
0APBE1K54GC986730;31461                                                                                                                                                                                
0APGD0B58OZ334499;8782                                                                                                                                                                                 
0APNX3U67LH250615;11131                                                                                                                                                                                
0APQJ2D40ID439916;37831                                                                                                                                                                                
0APWI0V56UV764758;4358                                                                                                                                                                                 
0APYR6R24XU797210;8035                                                                                                                                                                                 
0APYX2A83VX979130;31834                                                                                                                                                                                
0AQCV3Y06NJ349936;21500                                                                                                                                                                                
0AQJW1J19BK206370;27408                                                                                                                                                                                
0AQOE2Q17YX062638;38887                                                                                                                                                                                
0AQQC2H61DA683942;28883                                                                                                                                                                                
0AQYE4G85AP667625;49812                                                                                                                                                                                
0ARBL6O53JQ808020;34260                                                                                                                                                                                
0ARJA2F30PA270707;81                                                                                                                                                                                   
0ARJA8J07OW388119;43776                                                                                                                                                                                
0ARLH5K77DN917458;6868                                                                                                                                                                                 
0ARNG6Q42UW903228;16741                                                                                                                                                                                
0ARXE7U02DH701218;2926                                                                                                                                                                                 
0ARXU9P66GW992793;37909                                                                                                                                                                                
0ASBN0L16PR153000;16670                                                                                                                                                                                
0ASFP3M55LR292103;35143                                                                                                                                                                                
0ASGA6H39WX749980;34154                                                                                                                                                                                
0ASJZ8Z83MD986919;33142                                                                                                                                                                                
0ASTE8Y46JS885229;19268                                                                                                                                                                                
0ASWQ4O78TT481028;40470                                                                                                                                                                                
0ATDQ0F02FC884694;27520                                                                                                                                                                                
0ATEO4J07BL095160;9951                                                                                                                                                                                 
0ATNO3K88CJ549845;259                                                                                                                                                                                  
0ATPD1S97DQ139237;21546                                                                                                                                                                                
0ATSM5D25RL692494;22786                                                                                                                                                                                
0ATSU5Z52GX512832;47586                                                                                                                                                                                
0ATUY9X18ZP976514;36997                                                                                                                                                                                
0ATYO6O82EJ581384;11952                                                                                                                                                                                
0AUAF9B76EJ623046;38346                                                                                                                                                                                
0AUNT4K37HQ487988;17608                                                                                                                                                                                
0AUNW8Z84PZ106088;45514                                                                                                                                                                                
0AUTN8U37SD571439;12901                                                                                                                                                                                
0AUVC8G64UE546029;32380                                                                                                                                                                                
0AUVL5Y08RB358308;42764                                                                                                                                                                                
0AVKF2U35OF333271;36032                                                                                                                                                                                
0AVPW4H41HG527912;11492                                                                                                                                                                                
0AVVD9A58VN809865;9691                                                                                                                                                                                 
0AVXW2R72HQ813734;28622                                                                                                                                                                                
0AWCI6I57GU952685;33453                                                                                                                                                                                
0AWJI3X98SS941234;15336                                                                                                                                                                                
0AWJU0X13XA352177;6444                                                                                                                                                                                 
0AWMJ4O12CN470747;17462                                                                                                                                                                                
0AWNN9J17PH550033;16724                                                                                                                                                                                
0AWOK3E90OG253438;25814                                                                                                                                                                                
0AWPC4R39WG317158;7346                                                                                                                                                                                 
0AWPX5L89SN553566;12459                                                                                                                                                                                
0AWWJ6Q71RT606389;33393                                                                                                                                                                                
0AWWP6F89MR941653;20797                                                                                                                                                                                
0AWZA9E89JA939055;27895                                                                                                                                                                                
0AXCN7P14YK129701;37188                                                                                                                                                                                
0AXEU9L82YR196515;17371                                                                                                                                                                                
0AXIS3M40ZH553829;52                                                                                                                                                                                   
0AXIW5C64AQ852340;25549                                                                                                                                                                                
0AXLJ8S62FK335578;39005                                                                                                                                                                                
0AXPB2J55ZO439029;18039                                                                                                                                                                                
0AXQA0U77TO271127;30183                                                                                                                                                                                
0AXRJ2Q72OW106646;19446                                                                                                                                                                                
0AXZA8N86LI290274;35578                                                                                                                                                                                
0AXZK7H01JG426645;28101                                                                                                                                                                                
0AXZU5O83FB895780;21746                                                                                                                                                                                
0AYBV6K36FD213206;4066                                                                                                                                                                                 
0AYHQ2Y29QR193235;33506                                                                                                                                                                                
0AYIQ2F02MY376911;34333                                                                                                                                                                                
0AYON3Z80GQ226937;14072                                                                                                                                                                                
0AYOV4H02OU103312;32399                                                                                                                                                                                
0AYUZ0T07JI825815;48204                                                                                                                                                                                
0AYXX1F49ET891970;9990                                                                                                                                                                                 
0AZBS4W13HH922581;47236                                                                                                                                                                                
0AZNN7I14MC133397;13048                                                                                                                                                                                
0AZOH8N21LK310685;29579                                                                                                                                                                                
0AZOT1A47ZK105971;39803                                                                                                                                                                                
0AZRI0L07MU962963;25617                                                                                                                                                                                
0AZVX7O24OT446330;34301                                                                                                                                                                                
0AZVY7Z23HX098329;28025                                                                                                                                                                                
0BAPC4F90DK019978;34484                                                                                                                                                                                
0BAQU7L23AJ563022;6658                                                                                                                                                                                 
0BASA0T24KQ575908;22551                                                                                                                                                                                
0BAUV0J15PJ274616;20482                                                                                                                                                                                
0BAWR1E48AP565995;10245                                                                                                                                                                                
0BAYC4T35AI712073;43675                                                                                                                                                                                
0BAZH2O29UQ854860;29778                                                                                                                                                                                
0BAZH4F49XS032071;41805                                                                                                                                                                                
0BBCH8F04VL710522;36000                                                                                                                                                                                
0BBIN1R24CL153328;2054                                                                                                                                                                                 
0BBIO8K95IC605555;32124                                                                                                                                                                                
0BBKT6W92QU646451;27285                                                                                                                                                                                
0BBMN8I86NC858894;13624                                                                                                                                                                                
0BBMS2G93TQ862986;36241                                                                                                                                                                                
0BBNW6R12XU614451;42708                                                                                                                                                                                
0BBSE9B27QI908158;42446                                                                                                                                                                                
0BBTE6I79TA068453;42529                                                                                                                                                                                
0BBUY6W73OU886726;45246                                                                                                                                                                                
0BCJM1F32ZH810787;23957                                                                                                                                                                                
0BCKL0P25ZW328546;32750                                                                                                                                                                                
