vin;model;price;date_start;status                                                                                                                                                                      
7PRXF0C69AX574083;217;2302.43;2023-12-15;sold                                                                                                                                                          
8PYXB1Z74VR169509;368;2954.14;2023-08-07;delivery                                                                                                                                                      
8IOFQ7M52AG215687;411;3796.98;2021-02-16;delivery                                                                                                                                                      
8ULDE9T08RA264940;462;3897.38;2023-03-18;reserve                                                                                                                                                       
8UHNT7N74TQ870217;437;3316.96;2022-05-02;sold                                                                                                                                                          
5FBXA0L86AA954900;410;3030.03;2021-08-04;available                                                                                                                                                     
0CRKY0W34IO285089;16;2501.17;2024-08-22;delivery                                                                                                                                                       
8IDJO1U16TO974859;52;3574.04;2020-06-22;reserve                                                                                                                                                        
6JMIT2P07DJ908012;223;3713.82;2022-04-04;delivery                                                                                                                                                      
6VAJM8O53GD458191;122;2926.58;2024-08-13;available                                                                                                                                                     
5ZIBK1Y16CE379400;349;3001.22;2020-09-17;available                                                                                                                                                     
2XYNZ0O85KE198799;313;2859.82;2020-12-13;delivery                                                                                                                                                      
6SUIC8O46MS016822;94;3351.17;2022-11-21;delivery                                                                                                                                                       
5HUTC1W93MB212776;159;3839.78;2020-01-20;sold                                                                                                                                                          
1CFZL4T68ER698420;432;2621.33;2021-04-25;reserve                                                                                                                                                       
6UBCG8M12NM801040;38;2674.08;2022-10-09;delivery                                                                                                                                                       
0XUMA9Y20EJ367227;471;3467.35;2024-01-15;delivery                                                                                                                                                      
3LSXU0S95NU522779;85;3270.96;2021-12-23;reserve                                                                                                                                                        
8MJMZ3U04ZD710418;289;3874.21;2021-08-06;available                                                                                                                                                     
0UEYG2O65QQ001539;320;2745.57;2024-03-30;reserve                                                                                                                                                       
4VBQQ5M20XO997196;302;3025.36;2021-11-29;sold                                                                                                                                                          
5VBMR8Q87AC746671;251;3496.31;2024-01-31;sold                                                                                                                                                          
9MVAD8U87ZP146971;326;3733.27;2021-09-17;sold                                                                                                                                                          
0JVIR4T72QO137602;437;3612.07;2024-08-26;sold                                                                                                                                                          
6WMZQ3U41OG458388;306;2089.87;2023-02-06;delivery                                                                                                                                                      
0ZPGZ2K14QC332525;80;3260.94;2023-07-01;sold                                                                                                                                                           
0CFKX6P90WR861916;419;2978.7;2020-12-02;available                                                                                                                                                      
6OTOP3J25FF092390;203;2296.39;2021-12-21;reserve                                                                                                                                                       
1XFMR5I20ZQ287478;226;3904.36;2023-12-23;reserve                                                                                                                                                       
3OTJY5G29LW019614;224;2625.78;2020-11-19;delivery                                                                                                                                                      
6ALVI5X54LA825895;47;3434.97;2022-10-13;sold                                                                                                                                                           
3QSLN0E50FH686003;124;2813.4;2023-06-10;delivery                                                                                                                                                       
9MMTK5T62GJ795798;406;3553.86;2020-05-14;reserve                                                                                                                                                       
5KEZZ9Q98IA544357;276;3854.18;2020-05-14;available                                                                                                                                                     
7DCNW6Z48YK199488;55;2947.86;2024-05-18;available                                                                                                                                                      
2ETMX7O57EY441787;58;2227.24;2023-11-26;reserve                                                                                                                                                        
0GYDX1E51HI357947;374;2009.54;2023-02-04;reserve                                                                                                                                                       
0OMDU2V02SC560885;143;2489.01;2023-04-19;reserve                                                                                                                                                       
9KVTQ0Q53YA094499;8;3411.95;2024-06-04;available                                                                                                                                                       
0INPP5U24TX191297;376;3412.28;2022-10-10;delivery                                                                                                                                                      
6WDEJ2P55KF929201;238;2212.32;2023-03-30;available                                                                                                                                                     
8NOIY9V90WI091689;182;2129.11;2023-12-14;available                                                                                                                                                     
5LLSK3P59RZ399285;399;3069.73;2021-12-21;reserve                                                                                                                                                       
1EZNA0J02HP376341;307;2855.06;2021-04-22;delivery                                                                                                                                                      
1ZLML7T98LQ208302;72;2183.67;2023-06-03;sold                                                                                                                                                           
5WQON8U41DX085435;424;2831.43;2022-02-14;reserve                                                                                                                                                       
6IFOH3K27ST441577;80;2039.14;2021-11-23;available                                                                                                                                                      
0IMDK2U21NN616814;475;2133.51;2020-04-06;sold                                                                                                                                                          
0SNUL5N11MH201853;71;3026.79;2022-04-07;sold                                                                                                                                                           
9QIOI7W20KR458799;200;2713.45;2020-01-01;available                                                                                                                                                     
6JSXC1D20OR048865;186;2737.19;2023-07-02;available                                                                                                                                                     
0HGAG9G37TV423956;82;3886.74;2023-04-03;reserve                                                                                                                                                        
2UCXP6Q25OM246959;158;2372.44;2024-04-24;sold                                                                                                                                                          
5GFLD8X01MV463539;419;2796.46;2020-11-02;available                                                                                                                                                     
0ZGPE2B80GU428230;79;3892.3;2020-03-06;delivery                                                                                                                                                        
3VQEW9Z63WM129352;157;3666.65;2020-11-26;reserve                                                                                                                                                       
5YQVU9T79FR804259;35;3605.91;2020-02-25;delivery                                                                                                                                                       
0NQEJ0U71QR760544;141;2449.37;2021-09-14;sold                                                                                                                                                          
7NSSF9Z22EU133254;400;2908.69;2023-04-26;available                                                                                                                                                     
4QTQD4F17HV742987;288;3033.82;2024-03-16;sold                                                                                                                                                          
8DHKA4M86AQ918338;379;3154.93;2023-06-17;delivery                                                                                                                                                      
4NLUO0U30DQ929035;412;2206.91;2023-01-22;available                                                                                                                                                     
4ZQTL5C27XV846226;172;3934.78;2020-10-29;reserve                                                                                                                                                       
2TOIQ8L74AM142817;302;3521.37;2020-12-27;available                                                                                                                                                     
2SSZQ7D09NB737549;65;2102.29;2023-04-11;available                                                                                                                                                      
3HRVN4O96VH236955;75;3589.02;2020-10-11;sold                                                                                                                                                           
4GHPZ2F45HZ135253;123;3649.5;2021-11-07;delivery                                                                                                                                                       
1CARF7F68CC920288;265;3517.31;2024-02-09;available                                                                                                                                                     
0KCAP1O82LF789166;323;3789.68;2023-08-30;delivery                                                                                                                                                      
7OKXN8Y66DX420926;409;3230.21;2020-06-10;sold                                                                                                                                                          
3BUII2K15YJ807008;425;2047.13;2024-07-02;reserve                                                                                                                                                       
6XGSH1Z58ON488888;462;2206.48;2022-02-10;delivery                                                                                                                                                      
7YXRL0D37PZ387178;113;3475.29;2020-10-19;delivery                                                                                                                                                      
6GBVG6H61SK451964;293;3840.68;2020-10-03;available                                                                                                                                                     
6ZNNF6R28ZB728090;14;2488.88;2022-05-02;sold                                                                                                                                                           
1OZAL7Z54CD970789;17;3628.39;2022-02-18;available                                                                                                                                                      
5FRRB7Q87SK869708;483;3965.66;2021-10-22;reserve                                                                                                                                                       
5DRZF0T04NQ068874;196;2224.67;2022-06-07;available                                                                                                                                                     
0HRUU3N29WK507687;226;2915.04;2022-04-13;available                                                                                                                                                     
3UHWT9B05WP089486;215;3039.71;2021-04-04;sold                                                                                                                                                          
4YUAK3M93JQ444739;210;2284.15;2020-07-07;sold                                                                                                                                                          
2OHYQ9L88GD345961;159;3271.89;2021-08-06;available                                                                                                                                                     
5MKQB7X36BR504491;377;3382.52;2024-01-08;delivery                                                                                                                                                      
6JZGJ4S05LR089502;16;3383.04;2023-11-19;delivery                                                                                                                                                       
6UHQZ4V31YM267037;291;2533.34;2024-06-23;delivery                                                                                                                                                      
4WXGT3X35LO573331;326;2827.68;2022-05-23;reserve                                                                                                                                                       
9KWWM0R26IO623475;391;2900.55;2021-09-12;reserve                                                                                                                                                       
1SESS8R55UF621276;92;2913.68;2022-06-08;available                                                                                                                                                      
1RYJP9I88ZF384603;248;3069.88;2024-05-10;reserve                                                                                                                                                       
6SUWN1J35QZ454021;112;3964.81;2021-10-29;available                                                                                                                                                     
3WBZM3C38KD112247;170;2611.91;2022-06-27;sold                                                                                                                                                          
7OVQS7C69DQ791805;181;2777.02;2022-02-26;available                                                                                                                                                     
8MKLN6C16BM294669;192;2051.3;2024-01-17;reserve                                                                                                                                                        
6FDPR2L11QH564730;304;2880.21;2022-10-12;available                                                                                                                                                     
5LENS3G13NB896514;276;3296.45;2022-05-15;sold                                                                                                                                                          
8ESWF4O78NE821724;409;2204.91;2020-07-24;reserve                                                                                                                                                       
5SDIC6N89II894909;183;2262.41;2022-02-07;delivery                                                                                                                                                      
7EKOQ7Z27OY501510;47;3945.58;2022-06-15;reserve                                                                                                                                                        
2AKUY5X26RU544430;382;3119.74;2021-07-07;sold                                                                                                                                                          
2IVMF0S78OK362018;182;2739.36;2022-02-09;available                                                                                                                                                     
5ETNW2B26DW161894;285;2393.07;2023-10-05;reserve                                                                                                                                                       
3KEKB6Z63OX331567;80;3415.76;2023-04-20;delivery                                                                                                                                                       
2HQJR3W06XR168488;232;3226.22;2024-05-20;delivery                                                                                                                                                      
0FXDI9N56RT016072;53;3250.65;2023-04-08;reserve                                                                                                                                                        
2DGFT1G82YV825964;165;2805.01;2021-06-17;sold                                                                                                                                                          
1NNDJ2Z59GE785685;176;2800.42;2022-08-01;reserve                                                                                                                                                       
5VPOI9U50LV087591;354;2887.75;2021-03-01;reserve                                                                                                                                                       
3DYOI7Y57SE229379;413;3103.52;2020-10-10;reserve                                                                                                                                                       
1VTEC3Y18LT779709;295;3203.01;2023-02-18;reserve                                                                                                                                                       
0RLLB6O04MN012305;270;2749.78;2020-10-10;reserve                                                                                                                                                       
9OTWJ2X29CK266424;301;3697.14;2021-09-19;available                                                                                                                                                     
8NGRF8N39PS512062;411;3411.98;2020-11-26;delivery                                                                                                                                                      
8MZZW7K21IB851780;447;2762.61;2021-04-04;sold                                                                                                                                                          
7ZDUX1T75GI357274;469;2154.54;2024-03-29;delivery                                                                                                                                                      
3ONLY4F36OL594629;96;2926.08;2020-02-27;reserve                                                                                                                                                        
4JWZO4X13FI745727;39;3991.61;2023-02-06;reserve                                                                                                                                                        
1IGZK3C77SM801325;91;2736.56;2022-11-26;delivery                                                                                                                                                       
5VQQN4P99JI913130;172;2872.45;2023-10-07;delivery                                                                                                                                                      
3WAAQ3U81TE477736;192;3257.06;2023-11-10;sold                                                                                                                                                          
1JUIH3B38SK092875;457;3298.58;2023-02-07;sold                                                                                                                                                          
7NZXI8A88TE763315;382;3697.13;2021-11-30;available                                                                                                                                                     
6RSNZ2E77MT260827;6;3181.93;2023-09-12;reserve                                                                                                                                                         
0MYGL0I39CS652874;486;2166.7;2024-04-15;delivery                                                                                                                                                       
4BAIL2D88WN361451;147;3702.07;2022-05-26;available                                                                                                                                                     
0SSOC2M76RY913760;111;3865.05;2024-05-31;available                                                                                                                                                     
5CDGU8V64ZK948564;448;2341.39;2020-07-23;reserve                                                                                                                                                       
0TSSO5Q60OR706387;434;3108.28;2023-04-24;sold                                                                                                                                                          
7MVUM3H97RU738704;179;2071.12;2023-10-30;delivery                                                                                                                                                      
4BYYD7A98BS250595;204;3168.94;2021-03-02;sold                                                                                                                                                          
3CEIH0Q22FA998037;382;2345.64;2024-07-14;reserve                                                                                                                                                       
7NUFI9A82JV559583;243;2867.65;2023-01-03;available                                                                                                                                                     
4EDYJ7X15JN177902;184;3190.91;2022-02-28;available                                                                                                                                                     
9CBUD6T80CQ868470;428;3858.45;2022-02-22;reserve                                                                                                                                                       
1UYMY3G37AW479080;80;2588.75;2020-09-18;sold                                                                                                                                                           
5XJBL2F01HR961261;225;3382.32;2023-11-10;available                                                                                                                                                     
2AJSB5V22QZ992396;268;3973.35;2022-05-24;sold                                                                                                                                                          
